sample_id,location,stage,year,day,number
ob_1,oude_beek,third_instar,1,18,0
ob_1,oude_beek,third_instar,1,19,0
ob_1,oude_beek,third_instar,1,20,0
ob_1,oude_beek,third_instar,1,21,0
ob_1,oude_beek,third_instar,1,22,0
ob_1,oude_beek,third_instar,1,23,0
ob_1,oude_beek,third_instar,1,24,0
ob_1,oude_beek,third_instar,1,25,0
ob_1,oude_beek,third_instar,1,26,0
ob_1,oude_beek,third_instar,1,27,0
ob_1,oude_beek,third_instar,1,28,0
ob_1,oude_beek,third_instar,1,29,0
ob_1,oude_beek,third_instar,1,30,0
ob_1,oude_beek,third_instar,1,31,0
ob_1,oude_beek,third_instar,1,32,0
ob_1,oude_beek,third_instar,1,33,0
ob_1,oude_beek,third_instar,1,34,0
ob_1,oude_beek,third_instar,1,35,0
ob_1,oude_beek,third_instar,1,36,0
ob_1,oude_beek,third_instar,1,37,0
ob_1,oude_beek,third_instar,1,38,0
ob_1,oude_beek,third_instar,1,39,0
ob_1,oude_beek,third_instar,1,40,0
ob_1,oude_beek,third_instar,1,41,0
ob_1,oude_beek,third_instar,1,42,0
ob_1,oude_beek,third_instar,1,43,0
ob_1,oude_beek,third_instar,1,44,0
ob_1,oude_beek,third_instar,1,45,0
ob_1,oude_beek,third_instar,1,46,0
ob_1,oude_beek,third_instar,1,47,0
ob_1,oude_beek,third_instar,1,48,0
ob_1,oude_beek,third_instar,1,49,0
ob_1,oude_beek,third_instar,1,50,0
ob_1,oude_beek,third_instar,1,51,0
ob_1,oude_beek,third_instar,1,52,0
ob_1,oude_beek,third_instar,1,53,0
ob_1,oude_beek,third_instar,1,54,0
ob_1,oude_beek,third_instar,1,55,0
ob_1,oude_beek,third_instar,1,56,0
ob_1,oude_beek,third_instar,1,57,0
ob_1,oude_beek,third_instar,1,58,0
ob_1,oude_beek,third_instar,1,59,0
ob_1,oude_beek,third_instar,1,60,0
ob_1,oude_beek,third_instar,1,61,0
ob_1,oude_beek,third_instar,1,62,0
ob_1,oude_beek,third_instar,1,63,0
ob_1,oude_beek,third_instar,1,64,0
ob_1,oude_beek,third_instar,1,65,0
ob_1,oude_beek,third_instar,1,66,0
ob_1,oude_beek,third_instar,1,67,0
ob_1,oude_beek,third_instar,1,68,0
ob_1,oude_beek,third_instar,1,69,0
ob_1,oude_beek,third_instar,1,70,0
ob_1,oude_beek,third_instar,1,71,0
