feature_id,MM_1,MM_2,MM_3,MM_4,LA1330_1,LA1330_2,LA1330_3,LA1330_4,PI127826_1,PI127826_2,PI127826_3,PI127826_4,LYC4_1,LYC4_2,LYC4_3,LYC4_4,LA0716_1,LA0716_2,LA0716_3,LA0716_4,LA1028_1,LA1028_2,LA1028_3,LA1028_4,LA1777_1,LA1777_2,LA1777_3,LA1777_4,LA1840_1,LA1840_2,LA1840_3,LA1840_4
rt-0.55_mz-226.96602,17822,17014,15166,14474,18558,15370,19068,13740,19150,19560,19102,18618,13660,13954,12216,12916,12834,11740,11784,10678,15998,17570,13598,15448,22564,19850,20252,19082,14184,15884,12706,15174
rt-0.55_mz-267.9293,1048,1164,1174,1238,1332,734,952,804,716,576,924,1086,1094,1112,1142,1188,1156,992,944,1106,872,1204,1418,1088,794,632,484,674,1076,964,1398,1332
rt-0.55_mz-402.90195,9846,10474,10798,11014,8738,6398,7974,7766,5612,5578,5740,5526,8386,10038,10628,10986,8228,8204,7910,8146,9732,13682,12162,12800,5642,3432,4910,3884,10522,8990,11058,12466
rt-0.55_mz-590.88723,2814,2290,1646,1240,2524,2072,1940,1382,870,830,842,918,1420,1012,816,650,738,902,488,352,1608,3150,990,1854,1136,832,1442,622,1400,2252,614,1166
rt-0.55_mz-674.85104,3616,3638,3124,2590,3040,2998,2804,2794,1666,1656,1998,1480,3226,2616,2784,2310,2572,2876,2488,1718,3736,3804,2962,3350,1702,1560,1776,1150,3758,3700,2170,4086
rt-0.56_mz-499.91721,1218,1390,1028,1020,1180,1410,1452,1326,664,1172,678,560,1346,1088,866,724,744,982,832,608,1188,1626,778,892,892,828,682,758,896,1124,722,1016
rt-0.56_mz-538.87656,4862,4554,4824,5336,4862,4162,4242,4140,2824,2594,2978,2464,4550,4036,4532,3610,3764,4128,3852,3314,4992,5100,4698,4428,2408,2028,2172,2216,5406,4734,3572,4372
rt-0.56_mz-567.90537,1544,1068,952,970,1296,1158,1166,1118,864,710,674,412,1226,922,854,826,804,936,768,426,1208,2056,906,976,810,650,616,416,1292,1106,732,976
rt-0.57_mz-470.88934,7872,8716,8032,8418,7650,6040,5912,4166,5188,4278,4544,4900,8142,7668,7926,5684,6318,6464,6508,5358,7220,9010,7880,8744,4052,2926,3988,2384,7798,7996,6630,8250
rt-0.57_mz-478.90585,1160,1038,802,752,980,1056,1024,800,352,398,524,298,932,712,622,406,648,736,452,372,1352,1456,738,746,592,390,616,420,980,1268,592,598
rt-0.57_mz-606.86376,4652,3638,3346,3582,3744,3588,3022,3352,2146,2142,2454,1834,3664,3234,3446,2520,3376,3614,3236,2154,4190,4488,3330,3744,2120,1736,1958,1424,3950,5092,2878,3970
rt-0.57_mz-780.82352,2622,1372,1998,2734,2260,1582,1860,1692,1366,1334,1936,1276,4400,2272,3688,3198,4660,2342,4502,4452,4434,1098,3692,2464,1186,1012,1296,1302,2026,1398,4092,2630
rt-0.58_mz-532.85885,2462,2992,2546,3200,2188,1432,2064,1796,1998,1386,1978,1664,2300,3218,3444,3546,2702,2736,2908,3198,2428,2444,3214,2672,1112,1200,1014,1270,3276,2250,4058,2726
